Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3A50563,431885,435518,3,Leeds 2016,05/10/2016,Wednesday,1205,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,4,Car
3A50621,431224,435382,2,Leeds 2016,05/10/2016,Wednesday,1231,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,35,Car
3A50971,429985,430873,2,Leeds 2016,05/10/2016,Wednesday,1545,A,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Male,11,Car
3A51032,429720,433371,1,Leeds 2016,04/10/2016,Tuesday,1730,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,41,Bus or coach (17 or more passenger seats)
3A51116,432606,429608,2,Leeds 2016,05/10/2016,Wednesday,1713,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,56,Pedal cycle
3A51165,430167,426434,3,Leeds 2016,05/10/2016,Wednesday,1738,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,21,Car
3A60460,430576,433446,1,Leeds 2016,06/10/2016,Thursday,1000,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,40,Bus or coach (17 or more passenger seats)
3A60627,419223,441807,2,Leeds 2016,06/10/2016,Thursday,1200,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
3A60800,429569,434238,2,Leeds 2016,06/10/2016,Thursday,845,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,23,Pedal cycle
3A61101,431960,435132,1,Leeds 2016,06/10/2016,Thursday,1605,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,42,Car
3A70270,429934,434859,1,Leeds 2016,07/10/2016,Friday,845,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,56,Motorcycle over 500cc
3A70364,426805,433455,2,Leeds 2016,07/10/2016,Friday,952,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,36,Car
3A70400,427506,425505,2,Leeds 2016,07/10/2016,Friday,1010,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,26,Car
3A70400,427506,425505,2,Leeds 2016,07/10/2016,Friday,1010,A,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,22,Car
3A70400,427506,425505,2,Leeds 2016,07/10/2016,Friday,1010,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,18,Car
3A71446,430718,433603,1,Leeds 2016,07/10/2016,Friday,300,Unclassified,Dry,Darkness street lights present and lit,Unknown,Pedestrian,Slight,Male,22,Car
3A71626,432326,434521,2,Leeds 2016,07/10/2016,Friday,2140,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,32,Car
3A71626,432326,434521,2,Leeds 2016,07/10/2016,Friday,2140,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,37,Car
3A71626,432326,434521,2,Leeds 2016,07/10/2016,Friday,2140,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,37,Car
3A71626,432326,434521,2,Leeds 2016,07/10/2016,Friday,2140,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,32,Car
3A71770,429239,433856,1,Leeds 2016,07/10/2016,Friday,2250,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,18,Car
3A80333,430457,433358,1,Leeds 2016,08/10/2016,Saturday,200,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,29,Taxi or Private hire car
3A82055,429798,433928,2,Leeds 2016,08/10/2016,Saturday,2339,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,28,Car
3A82055,429798,433928,2,Leeds 2016,08/10/2016,Saturday,2339,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,28,Car
